	Anchor 1	Anchor 2	Alternative 1.1	Alternative 1.2	Correct Alternative	ID	# Votes out of 5 for Correct Alternative	style type
0	The line's name derives from its use in the Medieval French Roman d'Alexandre of 1170, although it'd already been used several decades earlier in Le Pèlerinage de Charlemagne.	The line's name derives from its use in the Medieval French Roman d'Alexandre of 1170, although it had already been used several decades earlier in Le Pèlerinage de Charlemagne.	It is also known as the Little Apocalypse because it includes the use of apocalyptic language, and it includes Jesus' warning to his followers that they will suffer tribulation and persecution before the ultimate triumph of the Kingdom of God.	It is also known as the Little Apocalypse because it includes the use of apocalyptic language, and it includes Jesus' warning to his followers that they'll suffer tribulation and persecution before the ultimate triumph of the Kingdom of God.	2	QQ_ction-0-wiki-0_wiki-73-ction-73--1		contraction
1	Produced entirely by cosmic ray spallation and supernovae and not by stellar nucleosynthesis, it's a low-abundance element in the Solar system and in the Earth's crust.	Produced entirely by cosmic ray spallation and supernovae and not by stellar nucleosynthesis, it is a low-abundance element in the Solar system and in the Earth's crust.	Joel Marangella is an American oboist who has performed in concert with many of the world's leading orchestras	Joel Marangella is an American oboist who's performed in concert with many of the world's leading orchestras	2	QQ_ction-1-wiki-1_wiki-17-ction-17--1		contraction
2	Here, two points on a sphere are called antipodal if they're in exactly opposite directions from the sphere's center.	Here, two points on a sphere are called antipodal if they are in exactly opposite directions from the sphere's center.	Holocaust denial claims include that Nazi Germany's Final Solution was aimed only at deporting Jews from the Reich and didn't include their extermination; that Nazi authorities didn't use extermination camps and gas chambers to mass murder Jews; or that the actual number of Jews killed was significantly lower than the historically accepted figure of 5 to 6 million, typically around a tenth of that figure.	Holocaust denial claims include that Nazi Germany's Final Solution was aimed only at deporting Jews from the Reich and did not include their extermination; that Nazi authorities did not use extermination camps and gas chambers to mass murder Jews; or that the actual number of Jews killed was significantly lower than the historically accepted figure of 5 to 6 million, typically around a tenth of that figure.	1	QQ_ction-2-wiki-2_ction-67-wiki-67--0		contraction
3	Blissymbols differ from most of the world's major writing systems in that the characters do not correspond at all to the sounds of any spoken language.	Blissymbols differ from most of the world's major writing systems in that the characters don't correspond at all to the sounds of any spoken language.	Published in 1977, it is King's third published novel and first hardback bestseller: the success of the book firmly established King as a preeminent author in the horror genre.	Published in 1977, it's King's third published novel and first hardback bestseller: the success of the book firmly established King as a preeminent author in the horror genre.	1	QQ_wiki-3-ction-3_wiki-31-ction-31--0		contraction
4	War and continuing fighting severely damaged Cambodia's transportation system — a system that'd been inadequately developed in peacetime	War and continuing fighting severely damaged Cambodia's transportation system — a system that had been inadequately developed in peacetime	The disciplines are not all races or timed-speed events, as several disciplines test a competitor's various riding skills.	The disciplines aren't all races or timed-speed events, as several disciplines test a competitor's various riding skills.	2	QQ_ction-4-wiki-4_wiki-21-ction-21--1		contraction
5	Without massive Soviet subsidies and its primary trading partner, Cuba became increasingly isolated in the late 1980s and early 1990s after the fall of the USSR and the end of the Cold War, but Cuba opened up more with the rest of the world again starting in the late 1990s when they've since entered bilateral co-operation with several South American countries, most notably Venezuela and Bolivia beginning in the late 1990s, especially after the Venezuela election of Hugo Chavez in 1999, who became a staunch ally of Castro's Cuba.	Without massive Soviet subsidies and its primary trading partner, Cuba became increasingly isolated in the late 1980s and early 1990s after the fall of the USSR and the end of the Cold War, but Cuba opened up more with the rest of the world again starting in the late 1990s when they have since entered bilateral co-operation with several South American countries, most notably Venezuela and Bolivia beginning in the late 1990s, especially after the Venezuela election of Hugo Chavez in 1999, who became a staunch ally of Castro's Cuba.	The Miller test, also called the three-prong obscenity test, is the United States Supreme Court's test for determining whether speech or expression can be labeled obscene, in which case it's not protected by the First Amendment to the United States Constitution and can be prohibited.	The Miller test, also called the three-prong obscenity test, is the United States Supreme Court's test for determining whether speech or expression can be labeled obscene, in which case it is not protected by the First Amendment to the United States Constitution and can be prohibited.	1	QQ_ction-5-wiki-5_ction-30-wiki-30--0		contraction
6	Covenant-breaker is a term used by Bahá'ís to refer to a person who has been excommunicated from the Bahá'í community for the act of covenant-breaking, roughly defined as active opposition to the Bahá'í Faith from a current member	Covenant-breaker is a term used by Bahá'ís to refer to a person who's been excommunicated from the Bahá'í community for the act of covenant-breaking, roughly defined as active opposition to the Bahá'í Faith from a current member	Subtitled McGeorge Bundy and William Bundy: Brothers in Arms, it's a biography focusing on the Bundys' role in American foreign policy, especially in the progression of the Vietnam War.	Subtitled McGeorge Bundy and William Bundy: Brothers in Arms, it is a biography focusing on the Bundys' role in American foreign policy, especially in the progression of the Vietnam War.	2	QQ_wiki-6-ction-6_ction-92-wiki-92--1		contraction
7	It contains 35 of Young's songs recorded between 1966 and 1976, among them five tracks that had been unreleased up to that point.	It contains 35 of Young's songs recorded between 1966 and 1976, among them five tracks that'd been unreleased up to that point.	Designed to transport very large semi-submersible drilling rigs above the transport ship's deck, it is equipped with 38 cabins to accommodate 60 people, a workout room, sauna and swimming facilities.	Designed to transport very large semi-submersible drilling rigs above the transport ship's deck, it's equipped with 38 cabins to accommodate 60 people, a workout room, sauna and swimming facilities.	1	QQ_wiki-7-ction-7_wiki-22-ction-22--0		contraction
8	A definition of music endeavors to give an accurate and concise explanation of music's basic attributes or essential nature and it involves a process of defining what is meant by the term music	A definition of music endeavors to give an accurate and concise explanation of music's basic attributes or essential nature and it involves a process of defining what's meant by the term music	The Buddhist games list is a list of games that Gautama Buddha is reputed to have said  that he wouldn't play and that his disciples should likewise not play, because he believed them to be a 'cause for negligence'.Brahmajala Sutta, Bhikkhu Bodhi], trans.	The Buddhist games list is a list of games that Gautama Buddha is reputed to have said  that he would not play and that his disciples should likewise not play, because he believed them to be a 'cause for negligence'.Brahmajala Sutta, Bhikkhu Bodhi], trans.	2	QQ_wiki-8-ction-8_ction-81-wiki-81--1		contraction
9	Although the start of the history of film isn't clearly defined, the commercial, public screening of ten of Lumière brothers' short films in Paris on 28 December 1895 can be regarded as the breakthrough of projected cinematographic motion pictures	Although the start of the history of film is not clearly defined, the commercial, public screening of ten of Lumière brothers' short films in Paris on 28 December 1895 can be regarded as the breakthrough of projected cinematographic motion pictures	Its advantage is that, unlike previous pendulum gravimeters, the pendulum's centre of gravity and center of oscillation do not have to be determined, allowing greater accuracy.	Its advantage is that, unlike previous pendulum gravimeters, the pendulum's centre of gravity and center of oscillation don't have to be determined, allowing greater accuracy.	2	QQ_ction-9-wiki-9_wiki-77-ction-77--1		contraction
